SOA_NAME,SOA_CODE,All_persons,Males,Females,Lives_in_household,Lives_in_communal,Males_pct,Females_pct,Household_pct,Communal_pct,CENSUS_YEAR
Whiterock 3,95GG48S3,1971,963,1008,1971,0,48.86,51.14,100.00,0.00,2001
Windsor 1,95GG49S1,1660,793,867,1476,184,47.77,52.23,88.92,11.08,2001
Windsor 2,95GG49S2,1851,927,924,1838,13,50.08,49.92,99.30,0.70,2001
Windsor 3,95GG49S3,1665,776,889,1665,0,46.61,53.39,100.00,0.00,2001
Windsor 4,95GG49S4,1911,758,1153,1891,20,39.67,60.33,98.95,1.05,2001
Woodstock 1,95GG50S1,1630,748,882,1630,0,45.89,54.11,100.00,0.00,2001
Woodstock 2,95GG50S2,1710,784,926,1710,0,45.85,54.15,100.00,0.00,2001
Woodstock 3,95GG50S3,1793,857,936,1769,24,47.80,52.20,98.66,1.34,2001
Woodvale 1,95GG51S1,1543,729,814,1543,0,47.25,52.75,100.00,0.00,2001
Woodvale 2,95GG51S2,1565,683,882,1521,44,43.64,56.36,97.19,2.81,2001
Woodvale 3,95GG51S3,1486,659,827,1486,0,44.35,55.65,100.00,0.00,2001
